productName,group,category,barcode,wac,sellingPrice,baselineDate,baselineQty,currentStock,bundleAvailable,bundleSize,bundlePrice
Shwari(TP),Toilet-Paper,Usafi:Jumla,,,"1,000",,,,,,
Vampoo-Multipurpose-5L,Sabuni Maji : Matumizi Yote,Usafi:Jumla,,,"10,000",,,,,,
Viva(T),Tishu,Usafi:Jumla,,,"1,500",,,,,,
Whitewash(BS),Sabuni/Mche,Usafi:Jumla,,,700,,,,,,
Bambino,Bambino : Chupi,Usafi:Mtoto,,,200,,,,,,
Softcare : Wipes,Waipsi,Usafi:Mtoto,,,"3,000",,,,,,
Softcare(P)-(6-9Kg),Pampasi/Diaper,Usafi:Mtoto,,,500,,,,,,
Softcare(P)-(9-15),Pampasi/Diaper,Usafi:Mtoto,,,500,,,,,,
Soksi(Mtoto),Soksi : Shule,Usafi:Mtoto,,,"1,000",,,,,,
Soksi(SL)-19-20,Soksi : Shule,Usafi:Mtoto,,,"1,000",,,,,,
Soksi(SL)-20-22,Soksi : Shule,Usafi:Mtoto,,,"1,000",,,,,,
Soksi(SL)-23-24,Soksi : Shule,Usafi:Mtoto,,,"1,000",,,,,,
Soksi(SL)-25-28,Soksi : Shule,Usafi:Mtoto,,,"1,000",,,,,,
Vestline-Poda(B)-50g,Poda : Watoto,Usafi:Mtoto,,,600,,,,,,
Diclopar-550mg,Dawa : Maumivu,Afya,,,100,,,,,,
Medisoft : Mosquito Lotion - 8mL,Dawa Mbu : Kupaka,Afya,,,300,,,,,,
Mosquito :COIL,Dawa Mbu : Koili,Afya,,,250,,,,,,
Paracetamol - 500mg,Dawa : Maumivu,Afya,,,50,,,,,,
O-Gas(S),Gesi:Mtungi,Gesi:Mtungi,,,"27,000",,,,,,
Oryx(L),Gesi:Mtungi,Gesi:Mtungi,,,"62,000",,,,,,
Oryx(S),Gesi:Mtungi,Gesi:Mtungi,,,"27,000",,,,,,
Taifa(L),Gesi:Mtungi,Gesi:Mtungi,,,"61,000",,,,,,
Taifa(S),Gesi:Mtungi,Gesi:Mtungi,,,"26,000",,,,,,
Gesi:Bana,Gesi-Bana,Jikoni,,,"5,000",,,,,,
Kiberiti,Kiberiti ,Jikoni,,,100,,,,,,
Mshumaa,MSHUMAA,Jikoni,,,500,,,,,,
Lato/Milk(S),Maziwa-Pakiti,Maziwa/PK,,,500,,,,,,
Madumu : Tupu,Madumu : Tupu/Kula,Mbadala,,,"2,000",,,,,,
Suki:Milk(S)-6g,Maziwa-Pakiti,Maziwa/PK,,,200,,,,,,
Msomi (SL)-80pgs,Daftari : Mazoezi,Steshenari,,,800,,,,,,
Femo-Oil-100ml,Kilainishi : Mashine,Umeme/Ufundi,,,"1,000",,,,,,
Bulb/3W,Taa : BULB,Umeme/Ufundi,,,"1,200",,,,,,
Bulb/5W,Taa : BULB,Umeme/Ufundi,,,"1,500",,,,,,
Penesamig(L),Betri,Umeme/Ufundi,,,400,,,,,,
Penesamig(S),Betri,Umeme/Ufundi,,,300,,,,,,
SuperGlue : 3g,Gundi,Umeme/Ufundi,,,500,,,,,,
Castle(LT),Bia,Vinywaji,,,"2,000",,,,,,
Eagle:(L),Bia,Vinywaji,,,"2,000",,,,,,
Kilimanjaro:(Lg/k),Bia,Vinywaji,6.2011E+12,,"2,200",,,,,,
Safari:(Lg/K),Bia,Vinywaji,6.2011E+12,,"2,200",,,,,,
Safari:(Lg/N),Bia,Vinywaji,,,"2,000",,,,,,
Serengeti:(Lg),Bia,Vinywaji,4.98654E+12,,"2,200",,,,,,
Stili-Waya : Koshoe/Vyombo-@600,Sponchi : Kosheo - VYOMBO,Usafi:Jikoni,,,600,,,,,,
Mifuko(S),Mifuko,VIfungashio,,,200,,,,,,
Double(KK)-200ml,Spirit,Vinywaji,6.20301E+12,,"2,200",,,,,,
Hansons(N),Spirit,Vinywaji,,,"4,500",,,,,,
Hansons(K),Spirit,Vinywaji,,,"15,000",,,,,,
Jobo-200ml,Spirit,Vinywaji,6.20304E+12,,"2,200",,,,,,
K-vant(K),Spirit,Vinywaji,6.204E+12,,"13,000",,,,,,
K-vant(N),Spirit,Vinywaji,6.203E+12,,"5,000",,,,,,
Konyagi(K),Spirit,Vinywaji,6.20301E+12,,"13,000",,,,,,
Konyagi(N),Spirit,Vinywaji,6.20301E+12,,"5,000",,,,,,
Valuu(K),Spirit,Vinywaji,,,"10,000",,,,,,
Valuu(N),Spirit,Vinywaji,6.20301E+12,,"4,000",,,,,,
Smart/Gin,Spirit,Vinywaji,6.20301E+12,,"2,200",,,,,,
Uhai(W)-1.6L,Maji,Vinywaji,6.20301E+12,,800,,,,,,
Uhai(W)-13L,Maji,Vinywaji,,,"4,500",,,,,,
Uhai(W)-1L,Maji,Vinywaji,6.20301E+12,,600,,,,,,
7up(CP),Soda,Vinywaji,,,700,,,,,,
7up(TK),Soda,Vinywaji,,,"1,200",,,,,,
Azam/Cola(N),Soda,Vinywaji,6.20301E+12,,600,,,,,,
Azam/Malt(N),Soda,Vinywaji,6.00964E+12,,700,,,,,,
Azam/Punch(N),Soda,Vinywaji,6.20301E+12,,700,,,,,,
Cocacola(CP),Soda,Vinywaji,,,800,,,,,,
Fanta/O(CP),Soda,Vinywaji,,,800,,,,,,
Fanta/O(BG),Soda,Vinywaji,,,"2,000",,,,,,
Fanta/O(TK),Soda,Vinywaji,5.449E+12,,"1,000",,,,,,
Fanta/PA(CP),Soda,Vinywaji,,,800,,,,,,
Fanta/PA(BG),Soda,Vinywaji,,,"2,000",,,,,,
Fanta/PA(TK),Soda,Vinywaji,,,"1,000",,,,,,
Fanta/PI(CP),Soda,Vinywaji,,,800,,,,,,
Fanta/PI(BG),Soda,Vinywaji,,,"2,000",,,,,,
Fanta/PI(TK),Soda,Vinywaji,5.449E+12,,"1,000",,,,,,
GSM/Lemon(N),Soda,Vinywaji,6.204E+12,,600,,,,,,
Mirinda(TK),Soda,Vinywaji,,,"1,200",,,,,,
Mirinda/B(CP),Soda,Vinywaji,,,700,,,,,,
Mirinda/O(CP),Soda,Vinywaji,,,700,,,,,,
Mirinda/PI(CP),Soda,Vinywaji,,,700,,,,,,
MO/Chungwa(N),Soda,Vinywaji,6.20302E+12,,600,,,,,,
MO/Malt(N),Soda,Vinywaji,6.20302E+12,,600,,,,,,
MO/Passion(N),Soda,Vinywaji,,,600,,,,,,
Pepsi(CP),Soda,Vinywaji,,,700,,,,,,
Pepsi(TK),Soda,Vinywaji,6.2011E+12,,"1,200",,,,,,
Sparletta(CP),Soda,Vinywaji,,,800,,,,,,
Sprite(CP),Soda,Vinywaji,,,800,,,,,,
Stone/Tangawizi(CP),Soda,Vinywaji,,,800,,,,,,
Afiya/Berries(N),Juisi,Vinywaji,,,600,,,,,,
Afiya/Lemon(N),Juisi,Vinywaji,,,600,,,,,,
Afiya/Orange(N),Juisi,Vinywaji,,,600,,,,,,
Afiya/Passion(N),Juisi,Vinywaji,,,600,,,,,,
Afiya/Pineapple(N),Juisi,Vinywaji,,,600,,,,,,
Azam/Embe(N),Juisi,Vinywaji,,,600,,,,,,
Azam/Orange(N),Juisi,Vinywaji,,,600,,,,,,
Azam/Ukwaju(N),Juisi,Vinywaji,,,600,,,,,,
Azam/Swiss(N),Juisi,Vinywaji,,,600,,,,,,
Jambo(EB),Juisi,Vinywaji,6.203E+12,,600,,,,,,
Jambo(CocoP),Juisi,Vinywaji,6.203E+12,,600,,,,,,
Jambo(G),Juisi,Vinywaji,,,600,,,,,,
Jambo(LE),Juisi,Vinywaji,,,600,,,,,,
Jambo(PI),Juisi,Vinywaji,,,600,,,,,,
U-fresh(GM)-120ml,Juisi,Vinywaji,,,200,,,,,,
U-Fresh(BM)-200ml,Juisi,Vinywaji,6.203E+12,,300,,,,,,
U-fresh(GM)-180ml,Juisi,Vinywaji,,,300,,,,,,
U-fresh(GU)-180ml,Juisi,Vinywaji,,,300,,,,,,
U-Fresh(TM)-80ml,Juisi,Vinywaji,6.203E+12,,100,,,,,,
U-Fresh(TU)-80ml,Juisi,Vinywaji,,,100,,,,,,
U-Fresh(KU)-200ml,Juisi,Vinywaji,6.203E+12,,600,,,,,,
Azam/Energy(N),E-Drink,Vinywaji,,,700,,,,,,
Jembe/Energy(N),E-Drink,Vinywaji,,,600,,,,,,
MO/Energy(N),E-Drink,Vinywaji,,,600,,,,,,
Karanga,Karanga,Nafaka,,,"6,000",,,,,,
M/Njano@2500,Maharage,Nafaka,,,"3,000",,,,,,
M/Njano@2800,Maharage,Nafaka,,,"3,500",,,,,,
M/Njano@3000,Maharage,Nafaka,,,"3,600",,,,,,
M/Njano@3200,Maharage,Nafaka,,,"3,700",,,,,,
M/Njano@3300,Maharage,Nafaka,,,"3,700",,,,,,
Mchele@1700,Mchele,Nafaka,,,"2,000",,,,,,
Mchele@1850,Mchele,Nafaka,,,"2,000",,,,,,
Mchele@2000,Mchele,Nafaka,,,"2,400",,,,,,
Mchele@2100,Mchele,Nafaka,,,"2,400",,,,,,
Mchele@2150,Mchele,Nafaka,,,"2,400",,,,,,
Mchele@2200,Mchele,Nafaka,,,"2,500",,,,,,
Mchele@2300,Mchele,Nafaka,,,"2,600",,,,,,
Mchele@2400,Mchele,Nafaka,,,"2,700",,,,,,
Mchele@2500,Mchele,Nafaka,,,"2,800",,,,,,
"MSB/12pcs@5,000",Maandazi,Nafaka,,,500,,,,,,
"MSB/24pcs@2,000",Maandazi,Nafaka,,,100,,,,,,
"MSB/4pcs@1,600",Mkate,Nafaka,,,"1,000",,,,,,
MSB/1pcs@800,Mkate,Nafaka,,,500,,,,,,
Ngano-25kg,Unga/Ngano,Nafaka,,,"2,000",,,,,,
Sembe-05kg,Unga/Sembe,Nafaka,,,"1,500",,,,,,
Sembe-25kg,Unga/Sembe,Nafaka,,,"1,400",,,,,,
Tambi-25kg (Kupima),Spaghetti,Nafaka,,,"2,800",,,,,,
"Tamu/12pcs@5,000",Maandazi,Nafaka,,,500,,,,,,
"Tamu/24pcs@2,000",Maandazi,Nafaka,,,100,,,,,,
Tamu/1pcs@800,Mkate,Nafaka,,,"1,000",,,,,,
"Tamu/4pcs@1,600",Skonzi,Nafaka,,,500,,,,,,
Afri/Kawaha(PKT),Kahawa/Pakiti,Viungo,,,200,,,,,,
Azam/Nazi(65ml),Nazi(F),Viungo,,,"1,200",,,,,,
BlueBand-100g,Siagi,Viungo,,,"1,500",,,,,,
Chai-2g,Pakiti : Majani Chai,Viungo,,,50,,,,,,
Mafuta/Kupikia-20L,Mafuta : KULA,Viungo,,,"5,500",,,,,,
Mayai(KZ),Mayai: Kizungu,Viungo,,,400,,,,,,
Mimi-6g,Snaki,Snaki,,,100,,,,,,
Murua:Chocolate,Biskuti,Vitamu,,,600,,,,,,
Murua:Maziwa Time,Biskuti,Vitamu,,,100,,,,,,
Murua:Milk,Biskuti,Vitamu,,,300,,,,,,
Murua:Nice,Biskuti,Vitamu,,,300,,,,,,
Murua:Strawberry,Biskuti,Vitamu,,,600,,,,,,
Murua:Vanilla,Biskuti,Vitamu,,,600,,,,,,
Neel-Salt-200g,Chumvi,Viungo,,,300,,,,,,
Neel-Salt-500g,Chumvi,Viungo,,,500,,,,,,
Pakiti/Ajinomoto,Kiungo : Pakiti,Viungo,,,100,,,,,,
Pakiti/Magadi,Kiungo : Pakiti,Viungo,,,100,,,,,,
Pakiti/Ndimu-Unga,Kiungo : Pakiti,Viungo,,,100,,,,,,
Pipi:Bigijii@100,Pipi/Bigijii,Vitamu,,,100,,,,,,
Pipi:Bigijii@50,Pipi/Bigijii,Vitamu,,,50,,,,,,
Redgold-Tomato-1L,Sosi : Nyanya-1L,Viungo,,,"1,500",,,,,,
Redgold-Tomato-5L,Sosi : Nyanya-5L,Viungo,,,"5,000",,,,,,
Redgold/Mwendokasi-900g,Pilipili,Viungo,,,"1,600",,,,,,
Saf-Instant-11g,Amira,Viungo,,,500,,,,,,
Sukari :50kg,Sukari,Viungo,,,"3,500",,,,,,
Serengeti:(LT),Bia,Vinywaji,,,"2,000",,,,,,
Serengeti(Lg)-N,Bia,Vinywaji,,,"2,000",,,,,,
"Vocha@1,000",Vocha,Vocha,,,"1,000",,,,,,
"Vocha@1,000",Vocha,Vocha,,,500,,,,,,
